Age of Empires 3,9,7
Age of Mythology,9,1
Arma 2,0,1
Arma 3,0,29
Assassin's Creed 3,1,15
BattleBlock Theater,2,0
BioShock Infinite,0,9
Borderlands,0,5
Borderlands 2,0,0
Castle Crashers,1,1
Chivalry: Medieval Warfare,0,48
Counter-Strike: Global Offensive,0,7
Counter-Strike: Source,0,2
Damned,3,2
Dark Souls: Prepare to Die Edition,6,8
Dark Souls 2,6,35
DayZ,3,1
Dishonored,1,11
Duck Game,2,2
Elite Dangerous,7,0
Evoland,6,1
Fallout: New Vegas,6,13
Far Cry 3,0,16
Far Cry 4,0,1
Final Fantasy 7,6,1
Garry's Mod,2,22
Guns of Icarus Online,0,21
Half-Life 2,0,4
Hitman 2: Silent Assassin,0,1
Hitman: Absolution,0,12
Keep Talking and Nobody Explodes,3,3
L.A. Noire,1,10
Left 4 Dead 2,0,13
Magicka,1,1
Magicka: Wizard Wars,2,1
Metro 2033,0,6
Metro: Last Light,0,0
Monaco,2,1
"Papers, Please",7,3
Payday 2,0,17
Portal,9,1
Portal 2,9,8
Quiplash,2,1
Risk of Rain,3,2
Rocket League,8,0
Rome: Total War,9,15
Saints Row: The Third,0,4
The Ship,3,1
Sid Meier's Civilization V,9,86
Sid Meier's Civilization: Beyond Earth,9,11
Sniper Elite V2,0,3
Sniper Elite 3,0,3
Spec Ops: The Line,0,6
The Stanley Parable,3,1
Starbound,2,9
Surgeon Simulator,7,0
Tabletop Simulator,7,8
Team Fortress 2,0,20
Thief,1,0
This War of Mine,6,0
Tom Clancy's Splinter Cell Blacklist,0,10
Total War: Shogun 2,9,12
Undertale,6,3
The Walking Dead,1,2
Worms Revolution,2,1
,,538
